priority_rank,priority_score,priority_tier,catalog,source_id,cohorts,cohort_ranks,cohort_count,cohort_score,visibility_score,quality_score,crossmatch_gap_score,priority_reasons,quality_flags,quality_flag_count,has_official_best_neighbour,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_ids,counterpart_ids,apparent_mag,r_pc_parallax,pm_total_masyr
399,61.12,P3,gaia_dr3,625453654702751872,nearest,nearest:49,1,27.12,12.0,0.0,22.0,nearest_rank=49;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,8.20409107208252,4.965085000459092,500.50796812705977
400,61.08,P3,gaia_dr3,6195030801635544704,brightest,brightest:183,1,19.08,8.0,28.0,6.0,brightest_rank=183;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,False,True,True,,65835,3.1524858474731445,148.46686190251455,55.4810975744541
401,61.076,P3,hipparcos2,23311,high_pm;nearest,high_pm:135;nearest:136,2,45.076,16.0,0.0,0.0,nearest_rank=136;high_pm_rank=135;multi_cohort=2,,0,True,False,True,3211461469444773376,3211461469444773376,6.36299991607666,8.707767486572266,1238.153143718498
402,61.068,P3,hipparcos2,113229,high_pm;nearest,high_pm:88;nearest:131,2,47.068,14.0,0.0,0.0,nearest_rank=131;high_pm_rank=88;multi_cohort=2,,0,True,False,True,6378584028690858496,6378584028690858496,10.373200416564941,8.615490913391113,1477.0053574716646
403,60.92,P3,gaia_dr3,2019802555283940608,nearest,nearest:119,1,22.92,8.0,8.0,22.0,nearest_rank=119;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,20.6376895904541,6.83028710525489,344.6955002120184
404,60.92,P2,hipparcos2,102141,nearest,nearest:219,1,16.92,4.0,18.0,22.0,nearest_rank=219;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,10.165900230407715,10.69518756866455,454.7598954393406
405,60.872,P2,gaia_dr3,6887029163498137856,high_pm,high_pm:199,1,10.872,10.0,18.0,22.0,high_pm_rank=199;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,11.062044143676758,11.784628246120068,1493.3047516923602
406,60.84,P3,gaia_dr3,1381119031215320576,brightest,brightest:87,1,24.84,8.0,28.0,0.0,brightest_rank=87;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,True,False,True,80704,80704,2.7236697673797607,117.83248942984396,29.26912747166355
407,60.76,P3,hipparcos2,77952,brightest;nearest,brightest:140;nearest:316,2,42.76,12.0,0.0,6.0,brightest_rank=140;nearest_rank=316;multi_cohort=2;fis_supplemental_only_match,,0,False,True,True,,5826168461855385472,2.9075000286102295,12.377769470214844,443.9324476764455
408,60.76,P2,gaia_dr3,2161121135533953536,nearest,nearest:155,1,20.76,8.0,10.0,22.0,nearest_rank=155;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,11.758081436157227,7.793888452108804,431.12020442940616
409,60.66,P3,gaia_dr3,6002807341299977216,nearest;high_pm,nearest:82;high_pm:181,2,46.66,14.0,0.0,0.0,nearest_rank=82;high_pm_rank=181;multi_cohort=2,,0,True,False,True,76074,76074,8.274178504943848,5.917282054313164,1564.2657801132043
410,60.66,P2,gaia_dr3,805881416880407936,brightest,brightest:290,1,12.66,8.0,18.0,22.0,brightest_rank=290;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,3.446242094039917,69.1591868693619,160.7717328027856
411,60.592,P2,gaia_dr3,1118916397395366656,high_pm;nearest,high_pm:264;nearest:500,2,18.592,10.0,10.0,22.0,nearest_rank=500;high_pm_rank=264;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,8.274169921875,11.58020992650055,1364.1314924514754
412,60.56,P2,gaia_dr3,558122277038055808,high_pm,high_pm:41,1,16.56,9.0,13.0,22.0,high_pm_rank=41;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1;missing_bp_or_rp,astrometric_excess_noise_gt_1;missing_bp_or_rp,2,False,False,False,,,,24.564186245480283,2630.9902229652776
413,60.544,P3,gaia_dr3,436648129327098496,high_pm;nearest,high_pm:322;nearest:366,2,24.544,18.0,18.0,0.0,nearest_rank=366;high_pm_rank=322;multi_cohort=2;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,True,False,True,14632,14632,3.902639150619507,10.577398255753055,1265.4749028975025
414,60.48,P3,hipparcos2,106106,nearest;high_pm,nearest:85;high_pm:181,2,46.48,14.0,0.0,0.0,nearest_rank=85;high_pm_rank=181;multi_cohort=2,,0,True,False,True,1784473016438653056,1784473016438653056,10.29740047454834,6.704659938812256,1075.4736118566555
415,60.4,P2,hipparcos2,62322,brightest,brightest:161,1,20.4,8.0,10.0,22.0,brightest_rank=161;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,2.9788999557495117,104.7120361328125,42.901200449404676
416,60.376,P2,hipparcos2,28442,high_pm,high_pm:185,1,11.376,12.0,15.0,22.0,high_pm_rank=185;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2,False,False,False,,,7.997499942779541,16.393442153930664,1070.9264917817657
417,60.312,P2,gaia_dr3,1431176943768690816,high_pm,high_pm:159,1,12.312,10.0,16.0,22.0,high_pm_rank=159;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;non_single_star,ruwe_gt_1p4;non_single_star,2,False,False,False,,,11.490692138671875,14.861583976298363,1623.345510842164
418,60.3,P3,gaia_dr3,2202630001603369856,brightest,brightest:46,1,27.3,8.0,25.0,0.0,brightest_rank=46;ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1;phot_variable,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1;phot_variable,4,True,False,True,107259,107259,2.45072603225708,8401.69624457274,5.3579401250913925
419,60.248,P3,gaia_dr3,5588607120530408832,high_pm,high_pm:133,1,13.248,15.0,26.0,6.0,high_pm_rank=133;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,True,True,,37853,5.194013595581055,15.277814259480886,1722.0997407187574
420,60.22,P2,gaia_dr3,5368479017141170304,nearest,nearest:264,1,14.22,14.0,10.0,22.0,nearest_rank=264;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,16.013761520385742,9.460269566928538,1076.2394361782133
421,60.16,P3,gaia_dr3,5099455184968674560,brightest,brightest:65,1,26.16,8.0,26.0,0.0,brightest_rank=65;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,True,False,True,15474,15474,2.5895581245422363,94.20392654065516,62.09326839914312
422,60.14,P3,gaia_dr3,804753180515722624,brightest,brightest:32,1,28.14,8.0,18.0,6.0,brightest_rank=32;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,50801,2.324510097503662,56.18382020205485,78.97768962001922
423,60.12,P3,hipparcos2,7981,nearest;high_pm,nearest:100;high_pm:416,2,37.12,13.0,10.0,0.0,nearest_rank=100;high_pm_rank=416;multi_cohort=2;hip_solution_type_not_5,hip_solution_type_not_5,1,True,False,True,96331172942614528,96331172942614528,5.390500068664551,7.5323896408081055,743.1930508286524
424,60.084,P3,gaia_dr3,3519785523672576384,high_pm;nearest,high_pm:47;nearest:222,2,43.084,17.0,0.0,0.0,nearest_rank=222;high_pm_rank=47;multi_cohort=2,,0,True,False,True,60559,60559,10.290013313293457,8.875164384583268,2555.7559554184572
425,60.06,P3,hipparcos2,34603,nearest;high_pm,nearest:80;high_pm:201,2,46.06,14.0,0.0,0.0,nearest_rank=80;high_pm_rank=201;multi_cohort=2,,0,True,False,True,946632924007399936,946632924007399936,11.418100357055664,6.294454574584961,1043.5498585118012
426,60.04,P2,gaia_dr3,3698534434669937024,nearest,nearest:167,1,20.04,8.0,10.0,22.0,nearest_rank=167;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,11.828688621520996,8.087804009453045,992.8361463999026
427,60.02,P3,gaia_dr3,3426333598021539840,nearest,nearest:134,1,22.02,8.0,8.0,22.0,nearest_rank=134;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,19.520273208618164,7.2431446445831105,570.1108115947656
428,60.012,P3,hipparcos2,113296,nearest;high_pm,nearest:91;high_pm:184,2,46.012,14.0,0.0,0.0,nearest_rank=91;high_pm_rank=184;multi_cohort=2,,0,True,False,True,2828928008202069376,2828928008202069376,8.710399627685547,6.845095634460449,1072.6445654083182
429,60.0,P3,gaia_dr3,2816504901198512768,brightest,brightest:51,1,27.0,8.0,19.0,6.0,brightest_rank=51;fis_supplemental_only_match;astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,False,True,True,,113963,2.503657579421997,,
430,59.98,P3,gaia_dr3,4330690742322011520,nearest;high_pm,nearest:31;high_pm:396,2,41.98,18.0,0.0,0.0,nearest_rank=31;high_pm_rank=396;multi_cohort=2,,0,True,False,True,80824,80824,8.80187702178955,4.307764238399739,1187.6595824651704
431,59.976,P3,gaia_dr3,1057318835428596096,high_pm;nearest,high_pm:35;nearest:231,2,42.976,17.0,0.0,0.0,nearest_rank=231;high_pm_rank=35;multi_cohort=2,,0,True,False,True,55360,55360,8.527627944946289,9.071896341954973,2952.329867598214
432,59.96,P3,gaia_dr3,6306068659857135232,nearest,nearest:135,1,21.96,8.0,8.0,22.0,nearest_rank=135;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,17.951568603515625,7.410294559480446,908.7790428660458
433,59.928,P1,hipparcos2,54966,high_pm;nearest,high_pm:378;nearest:426,2,18.928,4.0,15.0,22.0,nearest_rank=426;high_pm_rank=378;multi_cohort=2;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2,False,False,False,,,10.234100341796875,14.263299942016602,769.98080969593
434,59.908,P3,hipparcos2,83599,high_pm;nearest,high_pm:93;nearest:214,2,41.908,10.0,8.0,0.0,nearest_rank=214;high_pm_rank=93;multi_cohort=2;hip_component_flag,hip_component_flag,1,True,False,True,4364480521350598144,4364480521350598144,10.12720012664795,10.571942329406738,1456.8951116672745
435,59.88,P3,hipparcos2,80018,nearest;high_pm,nearest:122;high_pm:136,2,45.88,14.0,0.0,0.0,nearest_rank=122;high_pm_rank=136;multi_cohort=2,,0,True,False,True,6021430250773348736,6021430250773348736,10.596400260925293,8.34376335144043,1234.0408285385051
436,59.86,P2,gaia_dr3,5203276810942065536,nearest,nearest:270,1,13.86,14.0,10.0,22.0,nearest_rank=270;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,11.556602478027344,9.52076344678469,1027.2439457350115
437,59.82,P3,gaia_dr3,5826168461855385472,brightest,brightest:104,1,23.82,12.0,18.0,6.0,brightest_rank=104;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,77952,2.784390926361084,12.424611814318721,442.7869114764806
438,59.792,P2,gaia_dr3,2848303052351577344,high_pm,high_pm:229,1,9.792,10.0,18.0,22.0,high_pm_rank=229;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,10.659584999084473,16.791349638365226,1444.5302136689095
439,59.78,P3,gaia_dr3,856096765753549056,brightest,brightest:38,1,27.78,8.0,18.0,6.0,brightest_rank=38;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,53910,2.398536443710327,25.90466876088904,86.26032257017053
440,59.76,P3,gaia_dr3,418551920284673408,brightest,brightest:5,1,29.76,12.0,18.0,0.0,brightest_rank=5;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,True,False,True,3179,3179,1.9425238370895386,70.9674036994468,58.408875568010686
441,59.7,P2,gaia_dr3,6792436799475128960,nearest,nearest:306,1,11.7,8.0,18.0,22.0,nearest_rank=306;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;duplicated_source,ruwe_gt_1p4;duplicated_source,2,False,False,False,,,9.575837135314941,9.921411824522,484.79424484736194
442,59.68,P2,hipparcos2,73695,nearest,nearest:323,1,10.68,9.0,18.0,22.0,nearest_rank=323;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,4.877500057220459,12.507818222045898,446.2821139145058
443,59.648,P3,gaia_dr3,2552925644460225152,nearest;high_pm,nearest:136;high_pm:258,2,40.648,19.0,0.0,0.0,nearest_rank=136;high_pm_rank=258;multi_cohort=2,,0,True,False,True,3765,3765,5.467689037322998,7.435229060298576,1369.2691301409457
444,59.44,P2,gaia_dr3,5848753805085988352,nearest,nearest:377,1,7.44,4.0,26.0,22.0,nearest_rank=377;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,False,False,,,18.436214447021484,10.644885191105635,602.4160255325856
445,59.372,P3,gaia_dr3,4109030160308317312,nearest;high_pm,nearest:86;high_pm:349,2,40.372,19.0,0.0,0.0,nearest_rank=86;high_pm_rank=349;multi_cohort=2,,0,True,False,True,84405,84405,4.8285908699035645,5.947768672408884,1232.5948114079968
446,59.28,P3,gaia_dr3,3990320597065899776,brightest,brightest:63,1,26.28,8.0,19.0,6.0,brightest_rank=63;fis_supplemental_only_match;astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,False,True,True,,54872,2.571631669998169,,
447,59.26,P2,gaia_dr3,5264749303457104384,nearest,nearest:330,1,10.26,4.0,23.0,22.0,nearest_rank=330;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;ipd_frac_multi_peak_gt_10;missing_bp_or_rp,ruwe_gt_1p4;ipd_frac_multi_peak_gt_10;missing_bp_or_rp,3,False,False,False,,,12.365336418151855,10.217989775749038,218.40216654997147
448,59.2,P2,gaia_dr3,43574131143039104,nearest,nearest:281,1,13.2,8.0,16.0,22.0,nearest_rank=281;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;non_single_star,ruwe_gt_1p4;non_single_star,2,False,False,False,,,12.176141738891602,9.661761623516874,777.269683482094
449,59.12,P3,gaia_dr3,702343774145932544,brightest,brightest:49,1,27.12,8.0,18.0,6.0,brightest_rank=49;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,45860,2.4886538982391357,68.00779997124772,219.34820056450795
450,59.1,P3,gaia_dr3,4293318823182081408,nearest;high_pm,nearest:81;high_pm:226,2,45.1,14.0,0.0,0.0,nearest_rank=81;high_pm_rank=226;multi_cohort=2,,0,True,False,True,94761,94761,8.099910736083984,5.915007075883356,1453.227652203844
451,59.08,P3,gaia_dr3,5859405805013401984,brightest,brightest:83,1,25.08,8.0,26.0,0.0,brightest_rank=83;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,True,False,True,59929,59929,2.7034263610839844,100.0851109378811,232.0912331234617
452,59.02,P2,gaia_dr3,144711230753602048,high_pm,high_pm:306,1,7.02,6.0,24.0,22.0,high_pm_rank=306;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,False,False,False,,,19.120424270629883,59.713949794714104,1288.7637841019769
453,59.0,P3,gaia_dr3,2322561156529549440,nearest,nearest:151,1,21.0,8.0,8.0,22.0,nearest_rank=151;no_official_or_fis_gaia_hip_match;ipd_frac_multi_peak_gt_10,ipd_frac_multi_peak_gt_10,1,False,False,False,,,13.142606735229492,7.732950870869106,702.1079318741911
454,58.968,P3,gaia_dr3,5683871247496205312,high_pm;nearest,high_pm:163;nearest:421,2,26.968,10.0,0.0,22.0,nearest_rank=421;high_pm_rank=163;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,11.082489967346191,10.989833678550532,1609.6624233410992
455,58.86,P3,gaia_dr3,6319542659461082752,brightest,brightest:70,1,25.86,8.0,19.0,6.0,brightest_rank=70;fis_supplemental_only_match;astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,False,True,True,,74785,2.6346583366394043,,
456,58.84,P2,gaia_dr3,2974726136265625088,nearest,nearest:187,1,18.84,8.0,10.0,22.0,nearest_rank=187;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,9.636775970458984,8.415739882032177,260.92983382117484
457,58.8,P2,gaia_dr3,2400808245117576704,nearest,nearest:221,1,16.8,8.0,12.0,22.0,nearest_rank=221;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;phot_variable,ruwe_gt_1p4;phot_variable,2,False,False,False,,,10.212149620056152,8.850602534192834,429.84085073761537
458,58.784,P3,gaia_dr3,4109034455276324608,nearest;high_pm,nearest:88;high_pm:362,2,39.784,19.0,0.0,0.0,nearest_rank=88;high_pm_rank=362;multi_cohort=2,,0,True,False,True,84478,84478,5.889863014221191,5.953738988087766,1222.3388318218786
459,58.76,P3,hipparcos2,116727,brightest;nearest,brightest:240;nearest:416,2,30.76,12.0,10.0,6.0,brightest_rank=240;nearest_rank=416;multi_cohort=2;fis_supplemental_only_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,True,True,,2281778105594488192,3.376699924468994,14.10238265991211,135.37056437793262
460,58.76,P2,gaia_dr3,3765867289804696960,brightest,brightest:255,1,14.76,8.0,14.0,22.0,brightest_rank=255;no_official_or_fis_gaia_hip_match;astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1,2,False,False,False,,,3.3550055027008057,,
461,58.7,P3,gaia_dr3,4468009917744160000,nearest,nearest:156,1,20.7,8.0,8.0,22.0,nearest_rank=156;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,19.549428939819336,7.809167892494411,425.79000119362934
462,58.664,P2,hipparcos2,41554,high_pm,high_pm:177,1,11.664,10.0,15.0,22.0,high_pm_rank=177;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2,False,False,False,,,10.774100303649902,19.677291870117188,1086.441140467352
463,58.58,P3,gaia_dr3,3507879565090229888,high_pm;nearest,high_pm:191;nearest:194,2,39.58,19.0,0.0,0.0,nearest_rank=194;high_pm_rank=191;multi_cohort=2,,0,True,False,True,64924,64924,4.532528400421143,8.534415098502675,1509.0080783389756
464,58.524,P3,hipparcos2,62452,nearest;high_pm,nearest:123;high_pm:172,2,44.524,14.0,0.0,0.0,nearest_rank=123;high_pm_rank=172;multi_cohort=2,,0,True,False,True,3735000631158990976,3735000631158990976,11.379300117492676,8.370302200317383,1106.9510078138057
465,58.444,P3,gaia_dr3,5185493447310441728,high_pm,high_pm:72,1,15.444,13.0,8.0,22.0,high_pm_rank=72;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,17.976585388183594,11.588397539430222,2162.131942218104
466,58.416,P3,hipparcos2,61874,nearest;high_pm,nearest:108;high_pm:200,2,44.416,14.0,0.0,0.0,nearest_rank=108;high_pm_rank=200;multi_cohort=2,,0,True,False,True,6133474952391837824,6133474952391837824,12.277199745178223,7.780889987945557,1044.8504492509921
467,58.368,P3,gaia_dr3,2739689239311660672,nearest;high_pm,nearest:80;high_pm:248,2,44.368,14.0,0.0,0.0,nearest_rank=80;high_pm_rank=248;multi_cohort=2,,0,True,False,True,117473,117473,8.15291690826416,5.909595145046433,1387.112014218588
468,58.36,P3,gaia_dr3,4935615308047192576,brightest,brightest:95,1,24.36,8.0,26.0,0.0,brightest_rank=95;ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,3,True,False,True,6867,6867,2.7603414058685303,74.84376296415151,207.62197990213053
469,58.16,P3,gaia_dr3,1954170404122975232,nearest,nearest:165,1,20.16,8.0,8.0,22.0,nearest_rank=165;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,19.792591094970703,8.085693084218642,897.9098161153321
470,58.1,P3,gaia_dr3,5502164890740285696,brightest,brightest:66,1,26.1,8.0,18.0,6.0,brightest_rank=66;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,32768,2.618499279022217,53.31140236135065,76.8331784470223
471,58.06,P3,gaia_dr3,6005678131793146752,brightest,brightest:200,1,18.06,8.0,26.0,6.0,brightest_rank=200;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,3,False,True,True,,75141,3.214463472366333,148.5978615098312,19.645350945475908
472,58.06,P2,gaia_dr3,1165479168642900992,nearest,nearest:200,1,18.06,8.0,10.0,22.0,nearest_rank=200;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,13.070329666137695,8.617535520380574,256.5285346404273
473,58.056,P3,hipparcos2,29277,high_pm;nearest,high_pm:115;nearest:165,2,44.056,14.0,0.0,0.0,nearest_rank=165;high_pm_rank=115;multi_cohort=2,,0,True,False,True,1143321672882274560,1143321672882274560,10.516500473022461,9.372949600219727,1337.098531896584
474,58.0,P2,hipparcos2,76362,nearest,nearest:351,1,9.0,4.0,23.0,22.0,nearest_rank=351;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,False,False,False,,,11.983200073242188,13.087291717529297,82.4797944953793
475,57.984,P3,hipparcos2,21932,high_pm;nearest,high_pm:122;nearest:162,2,43.984,14.0,0.0,0.0,nearest_rank=162;high_pm_rank=122;multi_cohort=2,,0,True,False,True,3409711211681795584,3409711211681795584,10.002900123596191,9.273857116699219,1295.1271607452297
476,57.96,P2,gaia_dr3,5318547273548061824,brightest,brightest:335,1,9.96,8.0,18.0,22.0,brightest_rank=335;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,3.5350146293640137,141.1967383435355,37.82897818789967
477,57.916,P2,gaia_dr3,37431537635219712,high_pm,high_pm:170,1,11.916,6.0,18.0,22.0,high_pm_rank=170;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,12.01149845123291,27.239008707103622,1594.4675657580976
478,57.9,P3,gaia_dr3,6309703507861332736,brightest,brightest:86,1,24.9,8.0,19.0,6.0,brightest_rank=86;fis_supplemental_only_match;astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,False,True,True,,72622,2.722355604171753,,
479,57.86,P2,gaia_dr3,3171631420210205056,nearest,nearest:370,1,7.86,4.0,24.0,22.0,nearest_rank=370;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,False,False,False,,,14.606592178344727,10.603846175186044,353.4679270227566
480,57.7,P3,hipparcos2,25930,brightest,brightest:56,1,26.7,8.0,23.0,0.0,brightest_rank=56;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,True,False,True,3220756843825383936,3220756843825383936,2.1361000537872314,212.31422424316406,0.9411163583744573
481,57.7,P2,gaia_dr3,4960651016012601856,nearest,nearest:206,1,17.7,8.0,10.0,22.0,nearest_rank=206;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,12.568367958068848,8.725696164068099,270.1352755761247
482,57.68,P3,gaia_dr3,447071293401293056,brightest,brightest:73,1,25.68,8.0,18.0,6.0,brightest_rank=73;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,14328,2.6510000228881836,70.79565843918868,16.63962370974745
483,57.668,P3,hipparcos2,10279,high_pm;nearest,high_pm:28;nearest:207,2,44.668,13.0,0.0,0.0,nearest_rank=207;high_pm_rank=28;multi_cohort=2,,0,True,False,True,2515037264041041536,2515037264041041536,10.113300323486328,10.414497375488281,2556.039897595497
484,57.66,P3,gaia_dr3,2281778105594488192,brightest,brightest:140,1,21.66,12.0,18.0,6.0,brightest_rank=140;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,116727,2.9429574012756348,13.789928512401419,183.03581576310143
485,57.56,P3,hipparcos2,27072,nearest;brightest,nearest:147;brightest:329,2,41.56,16.0,0.0,0.0,brightest_rank=329;nearest_rank=147;multi_cohort=2,,0,True,False,True,2964000159821218432,2964000159821218432,3.697700023651123,8.926977157592773,470.32993717176885
